127.0.0.1 - - [06/Jan/2020:20:18:33 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:18:34 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:22:31 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:22:58 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:23:37 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:48:50 +0900] "GET /HelloJSP/greeting-out.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:49:06 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [06/Jan/2020:20:49:24 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [06/Jan/2020:21:36:45 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [06/Jan/2020:21:37:52 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 315
